level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1219	9348	-1	
2	1	1	0	0	0	88	13	14	14	-1	
3	1	1	1	0	0	88	13	14	14	-1	
4	1	1	1	1	0	88	13	14	14	-1	
5	1	1	1	1	1	88	13	14	14	80	Qa
2	1	2	0	0	0	36	75	142	11	-1	
3	1	2	1	0	0	36	75	142	11	-1	
4	1	2	1	1	0	36	75	142	11	-1	
5	1	2	1	1	1	36	75	44	11	76	‘Tuesday,
5	1	2	1	1	2	84	75	45	11	95	February
5	1	2	1	1	3	131	76	17	10	95	26,
5	1	2	1	1	4	151	76	27	8	96	2019
2	1	3	0	0	0	535	13	104	10	-1	
3	1	3	1	0	0	535	13	104	10	-1	
4	1	3	1	1	0	535	13	104	10	-1	
5	1	3	1	1	1	535	16	43	7	52	ENGLISH
5	1	3	1	1	2	595	13	44	10	0	ESPAfOL
2	1	4	0	0	0	390	15	430	75	-1	
3	1	4	1	0	0	390	15	430	75	-1	
4	1	4	1	1	0	390	15	430	75	-1	
5	1	4	1	1	1	390	34	80	50	74	Ebe
5	1	4	1	1	2	478	36	92	46	94	New
5	1	4	1	1	3	579	15	105	75	0	ork
5	1	4	1	1	4	692	34	128	44	85	Eimes
2	1	5	0	0	0	952	17	198	9	-1	
3	1	5	1	0	0	952	17	198	9	-1	
4	1	5	1	1	0	952	17	198	9	-1	
5	1	5	1	1	1	952	18	52	8	84	PLAYTHE
5	1	5	1	1	2	1008	18	70	8	31	CRossworD
5	1	5	1	1	3	1107	17	43	9	0	[aeetiag
2	1	6	0	0	0	1102	75	69	11	-1	
3	1	6	1	0	0	1102	75	69	11	-1	
4	1	6	1	1	0	1102	75	69	11	-1	
5	1	6	1	1	1	1102	75	37	11	84	Today's
5	1	6	1	1	2	1142	75	29	11	93	Paper
2	1	7	0	0	0	36	131	1139	1	-1	
3	1	7	1	0	0	36	131	1139	1	-1	
4	1	7	1	1	0	36	131	1139	1	-1	
5	1	7	1	1	1	36	131	1139	1	95	 
2	1	8	0	0	0	622	141	63	63	-1	
3	1	8	1	0	0	622	141	63	63	-1	
4	1	8	1	1	0	622	141	63	15	-1	
5	1	8	1	1	1	622	141	63	15	95	 
4	1	8	1	2	0	622	156	53	21	-1	
5	1	8	1	2	1	622	156	53	21	95	 
4	1	8	1	3	0	622	177	63	27	-1	
5	1	8	1	3	1	622	177	63	27	95	 
2	1	9	0	0	0	1064	140	28	29	-1	
3	1	9	1	0	0	1064	140	28	29	-1	
4	1	9	1	1	0	1064	140	28	29	-1	
5	1	9	1	1	1	1064	140	28	29	95	 
2	1	10	0	0	0	36	213	1139	1	-1	
3	1	10	1	0	0	36	213	1139	1	-1	
4	1	10	1	1	0	36	213	1139	1	-1	
5	1	10	1	1	1	36	213	1139	1	95	 
2	1	11	0	0	0	36	216	1138	1	-1	
3	1	11	1	0	0	36	216	1138	1	-1	
4	1	11	1	1	0	36	216	1138	1	-1	
5	1	11	1	1	1	36	216	1138	1	95	 
2	1	12	0	0	0	28	111	1112	269	-1	
3	1	12	1	0	0	28	111	1112	269	-1	
4	1	12	1	1	0	100	111	1011	11	-1	
5	1	12	1	1	1	100	111	29	9	60	Werld
5	1	12	1	1	2	150	111	20	9	75	US.
5	1	12	1	1	3	192	111	36	9	37	Polties
5	1	12	1	1	4	249	111	18	9	74	NY.
5	1	12	1	1	5	289	111	45	9	75	Business
5	1	12	1	1	6	354	111	39	11	72	Opinion
5	1	12	1	1	7	413	111	24	9	72	Tech
5	1	12	1	1	8	457	111	41	9	67	Science
5	1	12	1	1	9	518	111	33	9	67	Health
5	1	12	1	1	10	571	111	34	11	50	Sports
5	1	12	1	1	11	624	111	21	9	51	Arts
5	1	12	1	1	12	666	111	31	9	60	Books
5	1	12	1	1	13	717	111	25	11	68	Sle
5	1	12	1	1	14	763	111	23	9	68	Food
5	1	12	1	1	15	807	111	30	9	54	Travel
5	1	12	1	1	16	858	111	48	11	54	Magazine
5	1	12	1	1	17	0	0	1219	9348	35	©
5	1	12	1	1	18	926	111	58	11	35	TMagazine
5	1	12	1	1	19	1005	111	57	9	72	RealEstate
5	1	12	1	1	20	1082	111	29	9	74	Video
4	1	12	1	2	0	920	144	201	14	-1	
5	1	12	1	2	1	920	144	46	9	0	S8P500
5	1	12	1	2	2	981	145	40	8	52	40.12%
5	1	12	1	2	3	1028	145	3	8	52	t
5	1	12	1	2	4	1097	148	24	10	41	oc
4	1	12	1	3	0	101	159	1026	22	-1	
5	1	12	1	3	1	101	161	27	9	94	Your
